Aircraft,Total_Accidents,Fatal_Accidents,Total_Fatalities,Avg_Fatalities_Per_Accident,Units_Produced,Accidents_Per_Unit,Fatal_Accidents_Per_Unit
177MF LLC PITTS MODEL 12,1,0,0.0,0.0,,,
2007 SAVAGE AIR LLC EPIC LT,1,0,0.0,0.0,,,
2021FX3 LLC CCX-2000,2,0,0.0,0.0,,,
3XTRIM 450 ULTRA,1,1,1.0,1.0,,,
5 RIVERS LLC SQ-2,1,0,0.0,0.0,,,
737 800,2,0,0.0,0.0,,,
777 FF2,1,0,0.0,0.0,,,
781569 INC FX 210,1,0,0.0,0.0,,,
AAA AIRCRAFT LLC CCX-2000,1,0,0.0,0.0,,,
AARDEMA ROBERT JOHN 1 AARDEMA RAG WNG SP,1,0,0.0,0.0,,,
AB SPORTINE AVIACIJA GENESIS 2,1,0,0.0,0.0,,,
ABBETT GERRY LANCAIR EVOLUTION,1,0,0.0,0.0,,,
ABBEY VICTOR RV9-A,1,0,0.0,0.0,,,
ACKLAND JEFFREY DEAN SH 3R,1,0,0.0,0.0,,,
ACRO SPORT II,1,0,0.0,0.0,,,
ACRO SUPER ACRO SPORT I,1,0,0.0,0.0,,,
ACRODUSTER II,1,1,1.0,1.0,,,
ADAMS DENNIS ALLEN VARIEZE,1,0,0.0,0.0,,,
ADAMS DONALD L DA1,1,1,1.0,1.0,,,
ADAMS DRAGONFLY,1,0,0.0,0.0,,,
ADAMS JOHN R JR PIEL DIAMANT,1,0,0.0,0.0,,,
ADKINS RIDGE RUNNER II,1,0,0.0,0.0,,,
ADOLPHSON CCK-1865,1,0,0.0,0.0,,,
ADRIAN GEORGE W EUROPA CLASSIC,1,0,0.0,0.0,,,
ADVERTISING MGMT & CONSULTING VELOCITY SUPER XLRG5,1,1,2.0,2.0,,,
AERMACCHI IMPALA MB-326M,1,0,0.0,0.0,,,
AERO ADVENTURE AVENTURA UL,1,0,0.0,0.0,,,
AERO ADVENTURE ZEPHYR II,1,1,1.0,1.0,,,
AERO AT SP ZOO AT-4 LSA,1,0,0.0,0.0,,,
AERO BRISTELL BRISTELL LSA,1,0,0.0,0.0,,,
AERO COMMANDER 100,9,2,2.0,0.2222222222222222,,,
AERO COMMANDER 100 180,1,0,0.0,0.0,,,
AERO COMMANDER 100-180,3,0,0.0,0.0,,,
AERO COMMANDER 112,2,0,0.0,0.0,,,
AERO COMMANDER 112A,1,0,0.0,0.0,,,
AERO COMMANDER 114B,1,1,3.0,3.0,,,
AERO COMMANDER 200,1,1,2.0,2.0,,,
AERO COMMANDER 200D,3,0,0.0,0.0,,,
AERO COMMANDER 500,5,1,7.0,1.4,,,
AERO COMMANDER 500 - B,1,0,0.0,0.0,,,
AERO COMMANDER 500 B,2,1,1.0,0.5,,,
AERO COMMANDER 500 S,4,2,2.0,0.5,,,
AERO COMMANDER 500-B,4,1,2.0,0.5,,,
AERO COMMANDER 500A,1,1,1.0,1.0,,,
AERO COMMANDER 500B,2,1,1.0,0.5,,,
AERO COMMANDER 500S,4,3,8.0,2.0,,,
AERO COMMANDER 560,1,0,0.0,0.0,,,
AERO COMMANDER 560-F,1,1,1.0,1.0,,,
AERO COMMANDER 560E,1,0,0.0,0.0,,,
AERO COMMANDER 680 E,1,0,0.0,0.0,,,
AERO COMMANDER 680 F,1,0,0.0,0.0,,,
AERO COMMANDER 680-F,1,0,0.0,0.0,,,
AERO COMMANDER 680E,1,0,0.0,0.0,,,
AERO COMMANDER 680FL,1,1,1.0,1.0,,,
AERO COMMANDER 685,1,0,0.0,0.0,,,
AERO COMMANDER 690,4,1,1.0,0.25,,,
AERO COMMANDER 690A,1,0,0.0,0.0,,,
AERO COMMANDER 695,1,0,0.0,0.0,,,
AERO COMMANDER 840,1,1,7.0,7.0,,,
AERO COMMANDER B1A,1,1,1.0,1.0,,,
AERO COMMANDER CALLAIR,1,1,1.0,1.0,,,
AERO COMMANDER CALLAIR A 9,2,0,0.0,0.0,,,
AERO COMMANDER CALLAIR A 9B,1,0,0.0,0.0,,,
AERO COMMANDER CALLAIR A-9B,1,1,1.0,1.0,,,
AERO COMMANDER S2R,15,3,3.0,0.2,,,
AERO DESIGNS PULSAR,1,0,0.0,0.0,,,
AERO SMART SOLUTIONS INC LANCAIR EVOLUTION,1,0,0.0,0.0,,,
AERO SP Z O O (GOBOSH) AT-4 LSA,1,0,0.0,0.0,,,
AERO SP Z O O AT 4 LSA,1,0,0.0,0.0,,,
AERO SP Z O O AT-4 LSA,3,1,1.0,0.3333333333333333,,,
AERO VODOCHODY AERO. WORKS L-29 DELFIN,1,1,2.0,2.0,,,
AERO VODOCHODY AERO. WORKS L-39C,1,1,1.0,1.0,,,
AERO VODOCHODY L 39,1,0,0.0,0.0,,,
AERO VODOCHODY L 39C,1,1,2.0,2.0,,,
AERO VODOCHODY L-29,1,1,2.0,2.0,,,
AERO VODOCHODY L-39,1,1,2.0,2.0,,,
AERO VODOCHODY L39,3,1,1.0,0.3333333333333333,,,
AERO VODOCHODY L39C,5,3,3.0,0.6,,,
